id,name,org
0,Sean Axmaker,Nitrate Online
1,Leigh Paatsch,New York Post
2,Nell Minow,Chicago Sun-Times
3,Kimberly Pierce,CC2K
4,George Thomas,Akron Beacon Journal
5,Noel Murray,Los Angeles Times
6,Rebecca Murray,About.com
7,Vikram Murthi,New York Magazine/Vulture
8,Steve Murray,Atlanta Journal-Constitution
9,Randy Myers,Contra Costa Times
10,Kimber Myers,Los Angeles Times
11,Dan Murrell,Screen Junkies
12,Shaun Munro,Film School Rejects
13,Sean Mulvihill,FanboyNation.com
14,Paul Mount,Starburst
15,Charles Mudede,"The Stranger (Seattle, WA)"
16,Kate Muir,Daily Mail (UK)
17,María Fernanda Mugica,La Nación (Argentina)
18,Angelo Muredda,Film Freak Central
19,Joe Morgenstern,Wall Street Journal
20,Kenneth R. Morefield,Christianity Today
21,Clint Morris,Film Threat
22,Rafael Motamayor,Total Film
23,James Mottram,Total Film
24,Wesley Morris,Boston Globe
25,Roger Moore,Orlando Sentinel
26,Leigh Monson,Birth.Movies.Death.
27,Louisa Moore,Screen Zealots
28,Wilson Morales,BlackFilm.com
29,Katherine Monk,CBC Infoculture
30,Bob Mondello,NPR.org
31,Marc Mohan,Oregonian
32,Jared Mobarak,The Film Stage
33,Eric Monder,Film Journal International
34,Matthew Monagle,Austin Chronicle
35,Danny Minton,Houston Community Newspapers
36,Simon Miraudo,Guardian
37,Prairie Miller,NY Rock
38,Neil Miller,Film School Rejects
39,Jenni Miller,Film.com
40,Jordan Mintzer,Hollywood Reporter
41,Ross Miller,The National (Scotland)
42,Brad Miska,Bloody Disgusting
43,Scott Mendelson,Film Threat
44,Scott Menzel,We Live Entertainment
45,Ashley Menzel,We Live Entertainment
46,Carla Meyer,Sacramento Bee
47,David Medsker,Bullz-Eye.com
48,Tony Medley,Tolucan Times
49,Tom Meek,Anchorage Press
50,Cameron Meier,Orlando Weekly
51,Eric Melin,Kansas City Star
52,Michael McNeely,That Shelf
53,Sean P. Means,Film.com
54,Andre Meadows,Black Nerd Comedy
55,Drew McWeeny,rec.arts.movies.reviews
56,Dan Mecca,The Film Stage
57,Mike McGranaghan,Aisle Seat
58,Sarah McIntyre,RTÉ (Ireland)
59,Stuart McGurk,Times (UK)
60,Brent McKnight,PopMatters
61,Katherine McLaughlin,Sight and Sound
62,Maitland McDonagh,Boxoffice Magazine
63,Soraya Nadia McDonald,NPR's Fresh Air
64,Melanie McFarland,Salon.com
65,Hannah McGill,Sight and Sound
66,Brandy McDonnell,The Oklahoman
67,Todd McCarthy,Film Comment Magazine
68,Mike McCahill,BBC.com
69,Garry McConnachie,The Mail on Sunday (UK)
70,Roe McDermott,Hot Press
71,Glenn Sumi,NOW Toronto
72,Neely Swanson,Easy Reader (California)
73,Dominick Suzanne-Mayer ,Consequence of Sound
74,Frank Swietek,One Guy's Opinion
75,Adam Sweeting,The Arts Desk
76,Chris Stuckmann,Moviedex
77,Kristy Strouse,Film Inquiry
78,M Suganth,The Times of India
79,Craig Mathieson,The Age (Australia)
80,Stephen Mayne,PopMatters
81,Demetrios Matheou,London Evening Standard
82,Matt Maytum,Total Film
83,Joel Mayward,Christianity Today
84,Philip Martin,Arkansas Democrat-Gazette
85,Tim Martain,The Mercury
86,Andrew Marshall,Starburst
87,Lee Marshall,Screen International
88,José Martín,El antepenúltimo mohicano
89,Adolfo C. Martinez,La Nación (Argentina)
90,Luis Martínez,El Mundo (Spain)
91,Kiko Martinez,Remezcla
92,Beatriz Martínez,Sensacine
93,Oliver Lyttelton,The Playlist
94,Jon Lyus,HeyUGuys
95,Richard Kuipers,Urban Cinefile
96,Becky Kukla,Film Inquiry
97,Josh Kupecki,Austin Chronicle
98,Sarah Kurchak,Consequence of Sound
99,James Marsh,Screen International
100,Dan Lybarger,eFilmCritic.com
101,Jeff Strickler,Minneapolis Star Tribune
102,Jaime Fa de Lucas,Culturamas
103,Violet Lucca,Film Comment Magazine
104,Alberto Luchini,El Mundo (Spain)
105,John Lui,The Straits Times (Singapore)
106,Carson Lund,Boston Phoenix
107,Jeffrey Lyles,Gazette (MD)
108,Germain Lussier,Countingdown.com
109,Hannah Lynn,Pittsburgh City Paper
110,James Luxford,Little White Lies
111,David Stratton,Variety
112,Jay Stone,National Post
113,Eddie Strait,The Daily Dot
114,Anna Storm,Film Journal International
115,Damien Straker,Impulse Gamer
116,Henry Stewart,Slant Magazine
117,Dana Stevens,New York Times
118,tt stern-enzi,Cincinnati CityBeat
119,Marlow Stern,Manhattan Movie Magazine
120,Isabel Stevens,Sight and Sound
121,Tim Stevens,Sky Cinema
122,Sara Stewart,New York Post
123,Victor Stiff,Film School Rejects
124,Carlos Marañón,Cinemanía (Spain)
125,Piers Marchant,PopMatters
126,Francisco Marinero,El Mundo (Spain)
127,Scott Marks,San Diego Reader
128,Calum Marsh,Film Comment Magazine
129,Sarah Marrs,Lainey Gossip
130,Linda Marric,Empire Magazine
131,Cate Marquis,We Are Movie Geeks
132,Nora Lee Mandel,Film-Forward.com
133,Vincent Mancini,"The Stranger (Seattle, WA)"
134,Ben Mankiewicz,Turner Classic Movies Online
135,Lisa Johnson Mandell,AtHomeInHollywood.com
136,Sarah Manvel,Kamera.co.uk
137,Leonard Maltin,indieWire
138,Oktay Ege Kozak,Paste Magazine
139,Carl Kozlowski,Pasadena Weekly
140,Gary M. Kramer,Film Journal International
141,Daniel Krauze,El Financiero
142,Karen Krizanovich,Empire Magazine
143,Deborah Krieger,PopMatters
144,Panos Kotzathanasis,easternKicks.com
145,Robert Kojder,What Culture
146,Dan Kois,"City Pages, Minneapolis/St. Paul"
147,Genevieve Koski,New York Magazine/Vulture
148,Charles Koplinski,Illinois Times
149,Eric Kohn,indieWire
150,Frank Lovece,Film Journal International
151,Justin Lowe,Hollywood Reporter
152,Carlos Losilla,Sensacine
153,Clarisse Loughrey,Independent (UK)
154,Andrew Lowry,Empire Magazine
155,Glenn Lovell,Boston Globe
156,Jean Lowerison,San Diego Metropolitan
157,Rob Lowman,Los Angeles Daily News
158,Brian Lowry,CNN.com
159,Wesley Lovell,Apollo Guide
160,Adam Lowes,CineVue
161,Kurt Loder,Reason Online
162,Christopher Lloyd,Sarasota Herald-Tribune
163,Robert Lloyd,L.A. Weekly
164,Guy Lodge,Guardian
165,Camilla Long,Sunday Times (UK)
166,Tom Long,Detroit News
167,Matt Looker,Total Film
168,Kristen Lopez,IGN Movies
169,Joshua Starnes,ComingSoon.net
170,Tony Stamp,Flicks.co.nz
171,Raquel Stecher,Cine Suffragette
172,Terry Staunton,Radio Times
173,Orlando Maldonado,Movie Network
174,Greg Maki,"Star-Democrat (Easton, MD)"
175,Kate Stables,Total Film
176,Rob Staeger,L.A. Weekly
177,Wade Major,Boxoffice Magazine
178,Geoffrey Macnab,Guardian
179,Christopher Machell,The Skinny
180,Adrian Mack,Georgia Straight
181,Tony Macklin,Bright Lights Film Journal
182,Hope Madden,Columbus Underground
183,Arturo Magaña,Cine Premiere
184,Joey Magidson,Hollywood News
185,Liam Maguren,Flicks.co.nz
186,Kevin Maher,Sunday Times (UK)
187,Moira MacDonald,Film.com
188,Jacob Knight,Birth.Movies.Death.
189,Lewis Knight ,Daily Mirror (UK)
190,Sam C. Mac,Slant Magazine
191,Robert Koehler,Christian Science Monitor
192,Alexandra MacAaron,Women's Voices for Change
193,Stuart Klawans,Film Comment Magazine
194,Rick Kisonak,Film Threat
195,Danny King,Village Voice
196,J.R. Kinnard,PopMatters
197,Simon Kinnear,Total Film
198,Michelle Kisner,The Movie Sleuth
199,Yasmin Kleinbart,The Young Folks
200,Uri Klein,Haaretz
201,Chris Knight,National Post
202,Chris Klimek,Village Voice
203,Steve Macfarlane,Slant Magazine
204,Randall King,Jam! Movies
205,Daniel M. Kimmel,Christian Science Monitor
206,Josephine Livingstone,The New Republic
207,Lorry Kikta,Film Threat
208,Kristen Yoonsoo Kim,Hollywood Reporter
209,Jessica Kiang,BBC.com
210,Loren King,Boston Globe
211,Sheri Linden,Boxoffice Magazine
212,Kristian M. Lin,rec.arts.movies.reviews
213,Alex Lines,Film Inquiry
214,Joe Lipsett,Bloody Disgusting
215,Craig D. Lindsey,L.A. Weekly
216,Michael Sragow,The Atlantic
217,Matthew Lickona,San Diego Reader
218,Fernanda Solórzano,Letras Libres
219,Danielle Solzman,Out Magazine
220,Jason Solomons,Guardian
221,Matthew Sorrento,Bright Lights Film Journal
222,Josh Spiegel,Hollywood Reporter
223,David Keyes,David Keyes' Cinema 2000
224,Elizabeth Kerr,Hollywood Reporter
225,Wenlei Ma,Empire Magazine Australasia
226,Chance Solem-Pfeifer,PopMatters
227,Charles Solomon,indieWire
228,Jennie Kermode,Movie Gurus
229,Peter Keough,Anchorage Press
230,Mark Kermode,Guardian
231,Glenn Kenny,New York Times
232,James Kendrick,Q Network Film Desk
233,Lisa Kennedy,L.A. Weekly
234,Mark Kennedy,Associated Press
235,Ben Kenigsberg,L.A. Weekly
236,Tom Keogh,Film.com
237,Mark Keizer,Boxoffice Magazine
238,Louise Keller,Urban Cinefile
239,Joe Leydon,Film Scouts
240,Matthew Leyland,BBC.com
241,Joel Keller,Cinematical
242,Stephen Kelly,Guardian
243,Philip Kemp,Total Film
244,Ella Kemp,Empire Magazine
245,Robert Levin,The Atlantic
246,Damian Levy,Jamaica Gleaner
247,Donald J. Levit,Film Threat
248,Don R. Lewis,Film Threat
249,David Lewis,San Francisco Chronicle
250,Christy Lemire,Newsweek
251,Will Leitch,New York Magazine/Vulture
252,Danny Leigh,Guardian
